property	data_object	requirement	id	title	data_type	default	examples	pattern	constraint
host_age	biosampleMeta_NCBI.tsv	optional	#root/host_age	host_age	int	-	16M	^.*$	0-200
host_description	biosampleMeta_NCBI.tsv	optional	#root/host_description	host_description	string	-	NA	^.*$	N/A
host_disease	biosampleMeta_NCBI.tsv	optional	#root/host_disease	host_disease	string	-	Monkeypox Virus Disease	^.*$	N/A
host_disease_outcome	biosampleMeta_NCBI.tsv	optional	#root/host_disease_outcome	host_disease_outcome	string	-	NA	^.*$	N/A
host_disease_stage	biosampleMeta_NCBI.tsv	optional	#root/host_disease_stage	host_disease_stage	string	-	NA	^.*$	N/A
host_health_state	biosampleMeta_NCBI.tsv	optional	#root/host_health_state	host_health_state	string	-	NA	^.*$	N/A
host_sex	biosampleMeta_NCBI.tsv	optional	#root/host_sex	host_sex	string	-	Male | Female 	^.*$	N/A
id_method	biosampleMeta_NCBI.tsv	optional	#root/identification_method	identification_method	string	-	RT-PCR and Amplicon Sequencing|Phenotypic and Molecular Methods	^.*$	N/A
biosample_score	biosampleMeta_NCBI.tsv	optional	#root/biosample_score	biosample_score	int	-	33	^.*$	1-200
organism_name	ngsQC_NCBI.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	ngsQC_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	ngsQC_NCBI.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
genome_assembly_id	ngsQC_NCBI.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	ngsQC_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	2697049	^[0-9]+$	N/A
bco_id	ngsQC_NCBI.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000019	^.*$	N/A
schema_version	ngsQC_NCBI.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
analysis_platform	ngsQC_NCBI.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$	N/A
analysis_platform_object_id	ngsQC_NCBI.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	43172-43172
bioproject	ngsQC_NCBI.tsv	required	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	ngsQC_NCBI.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
strain	ngsQC_NCBI.tsv	optional	#root/strain	strain	string	-	FDAARGOS_94	^.*$	N/A
sra_run_id	ngsQC_NCBI.tsv	required	#root/sra_run_id	sra_run_id	string	-	SRR10971381	^[A-Za-z0-9]+$	N/A
ngs_read_file_name	ngsQC_NCBI.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	SRR10971381_1.fastq	^.*$	N/A
ngs_read_file_source	ngsQC_NCBI.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	SRA	^[A-Za-z]+$	N/A
ngs_gc_content	ngsQC_NCBI.tsv	required	#root/ngs_gc_content	gc_content	float	-	51.4	^[0-9]*\.[0-9]+$	0.0-1.0
avg_phred_score	ngsQC_NCBI.tsv	required	#root/avg_phred_score	avg_phred_score	float	-	33.5807	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_read_length	ngsQC_NCBI.tsv	required	#root/avg_read_length	avg_read_length	float	-	138.6775	^[0-9]*\.[0-9]+$	0.0-10000.0
max_read_length	ngsQC_NCBI.tsv	required	#root/max_read_length	max_read_length	int	-	151	^[0-9]+$	0-100000
min_read_length	ngsQC_NCBI.tsv	required	#root/min_read_length	min_read_length	int	-	1	^[0-9]+$	0-10000
num_reads_unique	ngsQC_NCBI.tsv	optional	#root/num_reads_unique	num_reads_unique	int	-	NA	^[0-9]+$	0-100000000
pos_outlier_count	ngsQC_NCBI.tsv	optional	#root/pos_outlier_count	pos_outlier_count	int	-	0	^[0-9]+$	0-100000
codon_table	ngsQC_NCBI.tsv	optional	#root/codon_table	codon_table	string	-	"Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear"	^.*$	N/A
percent_coding	ngsQC_NCBI.tsv	optional	#root/percent_coding	percent_coding	string	-	0.84|0.71|0.93|0.93|0.93|1.0|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.28|0.84|0.93|0.93|0.84	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	N/A
percent_not_coding	ngsQC_NCBI.tsv	optional	#root/percent_not_coding	percent_not_coding	string	-	0.16|0.29|0.07|0.07|0.07|0.0|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.72|0.16|0.07|0.07|0.16	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	N/A
density_n_per_read	ngsQC_NCBI.tsv	optional	#root/density_n_per_read	density_n_per_read	string	-	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|33|100	^([0-9]+(\|[0-9]+)+)$	N/A
complexity_percent	ngsQC_NCBI.tsv	optional	#root/complexity_percent	complexity_percent	float	-	94	^[0-9]+$	0.0-100.0
non_complex_percent	ngsQC_NCBI.tsv	optional	#root/non_complex_percent	non_complex_percent	float	-	6	^[0-9]+$	0.0-100.0
avg_quality_a	ngsQC_NCBI.tsv	optional	#root/avg_quality_a	avg_quality_a	float	-	32.095	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_t	ngsQC_NCBI.tsv	optional	#root/avg_quality_t	avg_quality_t	float	-	33.988	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_g	ngsQC_NCBI.tsv	optional	#root/avg_quality_g	avg_quality_g	float	-	33.911	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_c	ngsQC_NCBI.tsv	optional	#root/avg_quality_c	avg_quality_c	float	-	34.093	^[0-9]*\.[0-9]+$	0.0-1000.0
count_a	ngsQC_NCBI.tsv	optional	#root/count_a	count_a	int	-	442689195	^[0-9]+$	0-1000000000
count_t	ngsQC_NCBI.tsv	optional	#root/count_t	count_t	int	-	524276679	^[0-9]+$	0-1000000000
count_g	ngsQC_NCBI.tsv	optional	#root/count_g	count_g	int	-	437991224	^[0-9]+$	0-1000000000
count_c	ngsQC_NCBI.tsv	optional	#root/count_c	count_c	int	-	584757437	^[0-9]+$	0-1000000000
instrument	ngsQC_NCBI.tsv	required	#root/instrument	instrument	string	-	Illumina MiniSeq	^.*$	N/A
id_method	ngsQC_NCBI.tsv	optional	#root/id_method	id_method	string	-	Viral RNA | Culture | Phenotypic Identification	^.*$	N/A
wgs_accession	ngsQC_NCBI.tsv	optional	#root/wgs_accession	wgs_accession	string	-	NJFG00000000	^.*$	N/A
strategy	ngsQC_NCBI.tsv	optional	#root/strategy	strategy	string	-	RNA-Seq	^.*$	N/A
ngs_score	ngsQC_NCBI.tsv	optional	#root/ngs_score	ngs_score	int	-	20	^[0-9]+$	1-200
organism_name	ngs_id_list.tsv	required	#root/note	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	ngs_id_list.tsv	optional 	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	ngs_id_list.tsv	required	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
genome_assembly_id	ngs_id_list.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	ngs_id_list.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	2697049	^[0-9]+$	N/A
bioproject	ngs_id_list.tsv	optional	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	ngs_id_list.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
sra_run_id	ngs_id_list.tsv	required	#root/sra_run_id	sra_run_id	string	-	SRR10971381	^[A-Za-z0-9]+$	N/A
ngs_read_file_source	ngs_id_list.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	SRA	^[A-Za-z]+$	N/A
ref_org	ngs_id_list.tsv	optional	#root/ref_org	ref_org	string	-	Yes/No	^.*$	N/A
isolate_identifiers	ngs_id_list.tsv	optional	#root/isolate_identifiers	isolate_identifiers	string	-	PDT000289948.1	^.*$	N/A
selection_notes	ngs_id_list.tsv	required	#root/note	Selection Notes	string	-	Text	^.*$	N/A
lab_name	ngs_id_list.tsv	required	#root/note	Lab Name	string	-	Mazumder Lab	^.*$	N/A
files_processed	ngs_id_list.tsv	required	#root/processed	processed	string	-	ngsQC_HIVE.tsv	^.*$	N/A
