organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357526	FDAARGOS_1384		FDAARGOS_1384		Not applicable	Montana State U	Unknown	USA:MT	Seth Lab Isolate	Not applicable	FDA:FDAARGOS_1384	Seth Lab strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357525	FDAARGOS 1383		FDAARGOS 1383		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1383	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357524	FDAARGOS 1382		FDAARGOS 1382		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1382	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357523	FDAARGOS_1381		FDAARGOS_1381		Not applicable	Montana State U	Unknown	USA:MT	Seth Lab Isolate	Not applicable	FDA:FDAARGOS_1381	Seth Lab strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357522	FDAARGOS 1380		FDAARGOS 1380		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1380	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357521	FDAARGOS_1379		FDAARGOS_1379		Not applicable	Montana State U	Unknown	USA:MT	Seth Lab Isolate	Not applicable	FDA:FDAARGOS_1379	Seth Lab strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357520	FDAARGOS_1378		FDAARGOS_1378		Not applicable	Montana State U	Unknown	USA:MT	Seth Lab Isolate	Not applicable	FDA:FDAARGOS_1378	Seth Lab strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357519	FDAARGOS 1377		FDAARGOS 1377		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1377	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357518	FDAARGOS_1376		FDAARGOS_1376		Not applicable	Montana State U	Unknown	USA:MT	Seth Lab Isolate	Not applicable	FDA:FDAARGOS_1376	Seth Lab strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357517	FDAARGOS 1375		FDAARGOS 1375		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1375	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357516	FDAARGOS 1374		FDAARGOS 1374		Not applicable	Montana State U	Unknown	USA:MT	missing	Not applicable	FDA:FDAARGOS 1374	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Arachnia propionica		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Arachnia	1750	ARGOS_000010	v1.4	PRJNA231221	SAMN10228558	FDAARGOS_578		FDAARGOS_578		Not applicable	BEI < J Izard	Unknown	Unknown	Human oral cavity	Not applicable	FDA:FDAARGOS_578	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	
Brucella anthropi		cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Brucellaceae; Brucella/Ochrobactrum group; Brucella	529	ARGOS_000010	v1.4	PRJNA231221	SAMN16357208	FDAARGOS_1039		FDAARGOS_1039		Not applicable	ATCC	Unknown	USA:VA	missing	Not applicable	ATCC:49188D-5	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Staphylococcus pasteuri		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	45972	ARGOS_000010	v1.4	PRJNA231221	SAMN16357238	FDAARGOS_1069		FDAARGOS_1069		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:10657	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Borreliella burgdorferi		cellular organisms; Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Borreliaceae; Borreliella	139	ARGOS_000010	v1.4	PRJNA231221	SAMN04875533	FDAARGOS_196		FDAARGOS_196		Not Applicable	ATCC < AG Barbour < W Burgdorfer	1981	USA:NY	tick	Not Applicable	ATCC:35210D-5	Environment	Not Applicable	Vector	Lyme disease in humans	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	
Weizmannia coagulans		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Weizmannia	1398	ARGOS_000010	v1.4	PRJNA231221	SAMN16357329	FDAARGOS_1160		FDAARGOS_1160		Not applicable	Tetracore	Unknown	USA:MD	missing	Not applicable	FDA:FDAARGOS_1160	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN16357420	FDAARGOS_1278		FDAARGOS_1278		Not applicable	ARMADA	Unknown	USA:WA	missing	Not applicable	FDA:FDAARGOS_1278	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN07312485	FDAARGOS_441		FDAARGOS_441		Not Applicable	BC Centre for Disease Control	2015-01	Canada:BC	urine	Not Applicable	FDA:FDAARGOS_441	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Morganella morganii		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella	582	ARGOS_000010	v1.4	PRJNA231221	SAMN07312482	FDAARGOS_438		FDAARGOS_438		Not Applicable	BC Centre for Disease Control	2014-10	Canada:BC	sputum	Not Applicable	FDA:FDAARGOS_438	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN07312481	FDAARGOS_437		FDAARGOS_437		Not Applicable	BC Centre for Disease Control	2014-09	Canada:BC	urine	Not Applicable	FDA:FDAARGOS_437	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Klebsiella pneumoniae		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	573	ARGOS_000010	v1.4	PRJNA231221	SAMN07312479	FDAARGOS_435		FDAARGOS_435		Not Applicable	BC Centre for Disease Control	2014-07	Canada:BC	urine	Not Applicable	FDA:FDAARGOS_435	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Klebsiella oxytoca		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	571	ARGOS_000010	v1.4	PRJNA231221	SAMN07312476	FDAARGOS_432		FDAARGOS_432		Not Applicable	BC Centre for Disease Control	2015-08	Canada:BC	tracheal aspirate	Not Applicable	FDA:FDAARGOS_432	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Raoultella planticola		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Raoultella	575	ARGOS_000010	v1.4	PRJNA231221	SAMN07312472	FDAARGOS_428		FDAARGOS_428		Not Applicable	BC Centre for Disease Control	2015-06	Canada:BC	urine	Not Applicable	FDA:FDAARGOS_428	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000010	v1.4	PRJNA231221	SAMN07312471	FDAARGOS_427		FDAARGOS_427		Not Applicable	BC Centre for Disease Control	2015-03	Canada:BC	urine	Not Applicable	FDA:FDAARGOS_427	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	
Pluralibacter gergoviae		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Pluralibacter	61647	ARGOS_000010	v1.4	PRJNA231221	SAMN07312430	FDAARGOS_386		FDAARGOS_386		Not Applicable	Children's National Hospital	########	USA:DC	JG tube	Not Applicable	FDA:FDAARGOS_386	Homo sapiens	4Y	Missing	Missing	Missing	Missing	Missing	female	Phenotypic characterization	
Pasteurella multocida		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella	747	ARGOS_000010	v1.4	PRJNA231221	SAMN07312429	FDAARGOS_385		FDAARGOS_385		Not Applicable	Children's National Hospital	########	USA:DC	wound	Not Applicable	FDA:FDAARGOS_385	Homo sapiens	5Y	Missing	Cellullitis	Missing	Missing	Missing	female	Phenotypic characterization	
Pasteurella multocida		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella	747	ARGOS_000010	v1.4	PRJNA231221	SAMN07312428	FDAARGOS_384		FDAARGOS_384		Not Applicable	Children's National Hospital	########	USA:DC	abscess	Not Applicable	FDA:FDAARGOS_384	Homo sapiens	5Y	Missing	Cellullitis	Missing	Missing	Missing	female	Phenotypic characterization	
Staphylococcus simulans		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	1286	ARGOS_000010	v1.4	PRJNA231221	SAMN07312427	FDAARGOS_383		FDAARGOS_383		Not Applicable	Children's National Hospital	5/5/2015	USA:DC	urine catheter	Not Applicable	FDA:FDAARGOS_383	Homo sapiens	22M	Missing	Contaminant	Missing	Missing	Missing	female	Phenotypic characterization	
Pantoea agglomerans		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group	549	ARGOS_000010	v1.4	PRJNA231221	SAMN07312426	FDAARGOS_382		FDAARGOS_382		Not Applicable	Children's National Hospital	########	USA:DC	peripheral Blood	Not Applicable	FDA:FDAARGOS_382	Homo sapiens	6M	Missing	Bacteremia	Missing	Missing	Missing	male	Phenotypic characterization	
Staphylococcus lugdunensis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	28035	ARGOS_000010	v1.4	PRJNA231221	SAMN07312425	FDAARGOS_381		FDAARGOS_381		Not Applicable	Children's National Hospital	########	USA:DC	abscess	Not Applicable	FDA:FDAARGOS_381	Homo sapiens	6Y	Missing	Abscess	Missing	Missing	Missing	male	Phenotypic characterization	
Pseudomonas sp. FDAARGOS_380		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; unclassified Pseudomonas	2018067	ARGOS_000010	v1.4	PRJNA231221	SAMN07312424	FDAARGOS_380		FDAARGOS_380		Not Applicable	Children's National Hospital	########	USA:DC	G tube	Not Applicable	FDA:FDAARGOS_380	Homo sapiens	8M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization	
Chryseobacterium indologenes		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium	253	ARGOS_000010	v1.4	PRJNA231221	SAMN07312423	FDAARGOS_379		FDAARGOS_379		Not Applicable	Children's National Hospital	########	USA:DC	endotracheal aspirate	Not Applicable	FDA:FDAARGOS_379	Homo sapiens	1Y	Missing	Trachiits/Colonization	Missing	Missing	Missing	male	Phenotypic characterization	
Staphylococcus capitis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	29388	ARGOS_000010	v1.4	PRJNA231221	SAMN07312422	FDAARGOS_378		FDAARGOS_378		Not Applicable	Children's National Hospital	########	USA:DC	CSF	Not Applicable	FDA:FDAARGOS_378	Homo sapiens	4M	Missing	Meningitis	Missing	Missing	Missing	male	Phenotypic characterization	
Staphylococcus lugdunensis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	28035	ARGOS_000010	v1.4	PRJNA231221	SAMN07312421	FDAARGOS_377		FDAARGOS_377		Not Applicable	Children's National Hospital	########	USA:DC	abscess	Not Applicable	FDA:FDAARGOS_377	Homo sapiens	6Y	Missing	Abscess	Missing	Missing	Missing	female	Phenotypic characterization	
Pseudomonas putida		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas putida group	303	ARGOS_000010	v1.4	PRJNA231221	SAMN07312420	FDAARGOS_376		FDAARGOS_376		Not Applicable	Children's National Hospital	########	USA:DC	jejunal aspirate	Not Applicable	FDA:FDAARGOS_376	Homo sapiens	14M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization	
Enterococcus sp. FDAARGOS_375		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; unclassified Enterococcus	2060307	ARGOS_000010	v1.4	PRJNA231221	SAMN07312419	FDAARGOS_375		FDAARGOS_375		Not Applicable	Children's National Hospital	########	USA:DC	tissue grind	Not Applicable	FDA:FDAARGOS_375	Homo sapiens	15Y	Missing	Abscess	Missing	Missing	Missing	female	Phenotypic characterization	
Enterococcus faecium		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	1352	ARGOS_000010	v1.4	PRJNA231221	SAMN07312418	FDAARGOS_374		FDAARGOS_374		Not Applicable	Children's National Hospital	4/2/2015	USA:DC	skin swab	Not Applicable	FDA:FDAARGOS_374	Homo sapiens	10M	Missing	Colonization	Missing	Missing	Missing	male	Phenotypic characterization	
Salmonella enterica subsp. enterica serovar Saintpaul		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	90105	ARGOS_000010	v1.4	PRJNA231221	SAMN07312417	FDAARGOS_373		FDAARGOS_373		Not Applicable	George Washington University	7/1/2014	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_373	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	
Nocardia sp. FDAARGOS_372		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia; unclassified Nocardia	2018066	ARGOS_000010	v1.4	PRJNA231221	SAMN07312416	FDAARGOS_372		FDAARGOS_372		Not Applicable	George Washington University	########	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_372	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	
Streptococcus gordonii		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	1302	ARGOS_000010	v1.4	PRJNA231221	SAMN07312415	FDAARGOS_371		FDAARGOS_371		Not Applicable	George Washington University	########	USA:DC	blood	Not Applicable	FDA:FDAARGOS_371	Homo sapiens	74Y	Missing	Endocarditits	Missing	Missing	Missing	male	Phenotypic characterization	
Edwardsiella tarda		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Hafniaceae; Edwardsiella	636	ARGOS_000010	v1.4	PRJNA231221	SAMN07312414	FDAARGOS_370		FDAARGOS_370		Not Applicable	George Washington University	########	USA:DC	blood	Not Applicable	FDA:FDAARGOS_370	Homo sapiens	52Y	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization	
Rothia mucilaginosa		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Rothia	43675	ARGOS_000010	v1.4	PRJNA231221	SAMN07312413	FDAARGOS_369		FDAARGOS_369		Not Applicable	George Washington University	########	USA:DC	blood	Not Applicable	FDA:FDAARGOS_369	Homo sapiens	28Y	Missing	Missing	Missing	Missing	Missing	female	Phenotypic characterization	
Salmonella enterica subsp. enterica serovar Paratyphi A		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	54388	ARGOS_000010	v1.4	PRJNA231221	SAMN07312412	FDAARGOS_368		FDAARGOS_368		Not Applicable	George Washington University	8/1/2014	USA:DC	blood	Not Applicable	FDA:FDAARGOS_368	Homo sapiens	31Y	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization	
Streptococcus oralis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	1303	ARGOS_000010	v1.4	PRJNA231221	SAMN07312411	FDAARGOS_367		FDAARGOS_367		Not Applicable	George Washington University	########	USA:DC	blood	Not Applicable	FDA:FDAARGOS_367	Homo sapiens	64Y	Missing	Endocarditits	Missing	Missing	Missing	female	Phenotypic characterization	
Proteus vulgaris		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus	585	ARGOS_000010	v1.4	PRJNA231221	SAMN07312410	FDAARGOS_366		FDAARGOS_366		Not Applicable	Children's National Hospital	########	USA:DC	urine Catheter	Not Applicable	FDA:FDAARGOS_366	Homo sapiens	73D	Missing	Contaminant	Missing	Missing	Missing	male	Phenotypic characterization	
Morganella morganii		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella	582	ARGOS_000010	v1.4	PRJNA231221	SAMN07312409	FDAARGOS_365		FDAARGOS_365		Not Applicable	Children's National Hospital	########	USA:DC	stool	Not Applicable	FDA:FDAARGOS_365	Homo sapiens	24M	Missing	Colonization	Missing	Missing	Missing	male	Phenotypic characterization	
Citrobacter werkmanii		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	67827	ARGOS_000010	v1.4	PRJNA231221	SAMEA5852040																					
Citrobacter werkmanii		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	67827	ARGOS_000010	v1.4	PRJNA231221	SAMN07312408	FDAARGOS_364		FDAARGOS_364		Not Applicable	Children's National Hospital	########	USA:DC	stool	Not Applicable	FDA:FDAARGOS_364	Homo sapiens	3Y	Missing	Colonization	Missing	Missing	Missing	male	Phenotypic characterization	
Klebsiella aerogenes		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	548	ARGOS_000010	v1.4	PRJNA231221	SAMN07312407	FDAARGOS_363		FDAARGOS_363		Not Applicable	Children's National Hospital	########	USA:DC	stool	Not Applicable	FDA:FDAARGOS_363	Homo sapiens	6M	Missing	Colonization/Enteritis	Missing	Missing	Missing	male	Phenotypic characterization	
Roseomonas sp. FDAARGOS_362		cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Roseomonas; unclassified Roseomonas	2018065	ARGOS_000010	v1.4	PRJNA231221	SAMN07312406	FDAARGOS_362		FDAARGOS_362		Not Applicable	Children's National Hospital	1/1/2015	USA:DC	peripheral Blood	Not Applicable	FDA:FDAARGOS_362	Homo sapiens	21Y	Missing	Bacteremia	Missing	Missing	Missing	male	Phenotypic characterization	
Staphylococcus aureus		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	1280	ARGOS_000010	v1.4	PRJNA231221	SAMN07312405	FDAARGOS_359		FDAARGOS_359		Not Applicable	FDA CBER	4/1/2015	USA: MD	wound	Not Applicable	FDA:FDAARGOS_359	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	PCR - multiple targets	
Bacillus anthracis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	1392	ARGOS_000010	v1.4	PRJNA231221	SAMN06173354	FDAARGOS_341		FDAARGOS_341		Not Applicable	FDA CBER	########	USA:MD	Colorado Serum Co., Anthrax Spore Vaccine	Not Applicable	FDA:FDAARGOS_341	Environment	Not Applicable	Missing	Healthy cattle, sheep, goats, swine, and horses	Not Applicable	Missing	Missing	Not Applicable	Phenotypic identification	
Pseudomonas aeruginosa		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	287	ARGOS_000010	v1.4	PRJNA231221	SAMN06173353	FDAARGOS_340		FDAARGOS_340		Not Applicable	Children's National Hospital	########	USA:DC	endotracheal aspirate	Not Applicable	FDA:FDAARGOS_340	Homo sapiens	3M	Missing	Colonization	Missing	Missing	Missing	male	Phenotypic identification	
Enterococcus faecalis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	1351	ARGOS_000010	v1.4	PRJNA231221	SAMN06173352	FDAARGOS_339		FDAARGOS_339		Not Applicable	Children's National Hospital	3/6/2015	USA:DC	stool	Not Applicable	FDA:FDAARGOS_339	Homo sapiens	5D	Missing	Colonization	Missing	Missing	Missing	female	Phenotypic identification	
Enterococcus faecalis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	1351	ARGOS_000010	v1.4	PRJNA231221	SAMN06173351	FDAARGOS_338		FDAARGOS_338		Not Applicable	Children's National Hospital	3/6/2015	USA:DC	urine catheter	Not Applicable	FDA:FDAARGOS_338	Homo sapiens	3Y	Missing	Contaminant	Missing	Missing	Missing	male	Phenotypic identification	
Chryseobacterium indologenes		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium	253	ARGOS_000010	v1.4	PRJNA231221	SAMN06173350	FDAARGOS_337		FDAARGOS_337		Not Applicable	Children's National Hospital	########	USA:DC	throat	Not Applicable	FDA:FDAARGOS_337	Homo sapiens	5Y	Missing	Cystic fibrosis	Missing	Missing	Missing	male	Phenotypic identification	
Staphylococcus saprophyticus		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	29385	ARGOS_000010	v1.4	PRJNA231221	SAMN06173349	FDAARGOS_336		FDAARGOS_336		Not Applicable	Children's National Hospital	########	USA:DC	urine clean catch	Not Applicable	FDA:FDAARGOS_336	Homo sapiens	18Y	Missing	Urinary tract infection	Missing	Missing	Missing	female	Phenotypic identification	
Klebsiella oxytoca		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	571	ARGOS_000010	v1.4	PRJNA231221	SAMN06173348	FDAARGOS_335		FDAARGOS_335		Not Applicable	Children's National Hospital	########	USA:DC	urine catheter	Not Applicable	FDA:FDAARGOS_335	Homo sapiens	4Y	Missing	Urinary tract infection	Missing	Missing	Missing	female	Phenotypic identification	
Staphylococcus cohnii		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	29382	ARGOS_000010	v1.4	PRJNA231221	SAMN06173347	FDAARGOS_334		FDAARGOS_334		Not Applicable	Children's National Hospital	########	USA:DC	peripheral blood	Not Applicable	FDA:FDAARGOS_334	Homo sapiens	10D	Missing	Contaminant	Missing	Missing	Missing	female	Phenotypic identification	
Micrococcus sp. FDAARGOS_333		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; unclassified Micrococcus	1930558	ARGOS_000010	v1.4	PRJNA231221	SAMN06173346	FDAARGOS_333		FDAARGOS_333		Not Applicable	Children's National Hospital	2/5/2015	USA:DC	peripheral blood	Not Applicable	FDA:FDAARGOS_333	Homo sapiens	18Y	Missing	Contaminant	Missing	Missing	Missing	male	Phenotypic identification	
