property	data_object	requirement	id	title	data_type	default	examples	pattern	constraint
bco_id	assemblyQC_NCBI.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012	^[a-zA-Z]+_[0-9]+$	N/A
schema_version	assemblyQC_NCBI.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^v[0-9]*\.[0-9]+$	N/A
analysis_platform	assemblyQC_NCBI.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)	N/A
analysis_platform_object_id	assemblyQC_NCBI.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	NA
assembly_file_source	assemblyQC_NCBI.tsv	required	#root/assembly_file_source	assembly_file_source	string	-	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/102/975/GCA_003102975.1_ASM310297v1/	-	N/A
genomic_section	assemblyQC_NCBI.tsv	required	#root/genomic_section	genomic_section	string		PB2	^[a-zA-Z]+_[0-9]+$	N/A
num_chromosomes	assemblyQC_NCBI.tsv	optional	#root/num_chromosomes	num_chromosomes	int	-	8	^[0-9]+$	1-100
num_genes	assemblyQC_NCBI.tsv	optional	#root/num_genes	num_genes	int	-	9	^[0-9]+$	1-1000000
num_segments 	assemblyQC_NCBI.tsv	optional	#root/num_segments 	num_segments 	int	-	10	^[0-9]+$	1-100000
assembly_gc_content	assemblyQC_NCBI.tsv	required	#root/assembly_gc_content	assembly_gc_content	float	-	"29,903"	^[0-9]+$	0.0-1.0
length	assemblyQC_NCBI.tsv	optional	#root/length	length	int	-	13588	^.*$	0-1000000000
num_of_frameshifts	assemblyQC_NCBI.tsv	optional	#root/num_of_frameshifts	num_of_frameshifts	int	-	1		1-1000
num_of_stop_codons	assemblyQC_NCBI.tsv	optional	#root/num_of_stop_codons	num_of_stop_codons	int	-	1		1-1000
genome_coverage	assemblyQC_NCBI.tsv	optional	#root/genome_coverage	genome_coverage	float			^[0-9]+$	N/A
n50 	assemblyQC_NCBI.tsv	optional	#root/n50	n50	int	-	2233	^.*$	0-100000
n75	assemblyQC_NCBI.tsv	optional	#root/n75	n75	int	-	1565	^.*$	0-100000
n90	assemblyQC_NCBI.tsv	optional	#root/n90	n90	int	-	1027	^.*$	0-100000
l50 	assemblyQC_NCBI.tsv	optional	#root/l50	l50	int	-	3	^.*$	1-1000000
l75	assemblyQC_NCBI.tsv	optional	#root/l75	l75	int	-	5		1-1000000
ref_genome_acc	assemblyQC_NCBI.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	NC_002023	-	N/A
query_coverage_against_reference	assemblyQC_NCBI.tsv	optional	#root/query_coverage_against_reference	query_coverage_against_reference	int	-	100	^[0-9]+$	1-100000
reference_coverage_against_query	assemblyQC_NCBI.tsv	optional	#root/reference_coverage_against_query	reference_coverage_against_query	int		100		1-100001
percent_identity_against_reference	assemblyQC_NCBI.tsv	optional	#root/percent_identity_against_reference	percent_identity_against_reference	float	-	100	^.*$	0.0-100.0
percent_reads_unaligned	assemblyQC_NCBI.tsv	optional	#root/reads_unaligned	reads_unaligned	int	-	1570000	^.*$	0-100000000
assembly_type	assemblyQC_NCBI.tsv	optional	#root/assembly_type	assembly_type	string	-	Haploid 	^.*$	N/A
assembly_level	assemblyQC_NCBI.tsv	optional	#root/assembly_level	assembly_level	string	-	Complete Genome	^.*$	N/A
assembly_score	assemblyQC_NCBI.tsv	optional	#root/assembly_score	assembly_score	int	-	33	^.*$	1-200
