organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	sra_run_id	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163195	FDAARGOS_571	SRR8179110	GCF_003812885.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	Illumina HiSeq 4000	Not applicable	USAMRIID	Unknown	Unknown	UCC isolate	Not applicable	FDA:FDAARGOS_571	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163195	FDAARGOS_571	SRR8179109	GCF_003812885.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	Illumina HiSeq 4000	Not applicable	USAMRIID	Unknown	Unknown	UCC isolate	Not applicable	FDA:FDAARGOS_571	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163195	FDAARGOS_571	SRR8179111	GCF_003812885.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	PacBio RS	Not applicable	USAMRIID	Unknown	Unknown	UCC isolate	Not applicable	FDA:FDAARGOS_571	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163195	FDAARGOS_571	SRR8179113	GCF_003812885.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	PacBio RS	Not applicable	USAMRIID	Unknown	Unknown	UCC isolate	Not applicable	FDA:FDAARGOS_571	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN03996292	FDAARGOS_145	SRR2820663	GCF_001558855.2	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 2500	Not Applicable	Children's National Hospital	4/1/14	USA:DC	urine cathether	Not Applicable	FDA:FDAARGOS_145	Homo sapiens	33M	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN03996292	FDAARGOS_145	SRR2820661	GCF_001558855.2	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	Children's National Hospital	4/1/14	USA:DC	urine cathether	Not Applicable	FDA:FDAARGOS_145	Homo sapiens	33M	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN03996292	FDAARGOS_145	SRR2820662	GCF_001558855.2	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	Children's National Hospital	4/1/14	USA:DC	urine cathether	Not Applicable	FDA:FDAARGOS_145	Homo sapiens	33M	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification
Providencia stuartii	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN16357204	FDAARGOS_1035	SRR12827771	GCF_016623625.1	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 4000	Not applicable	USAMRIID	Unknown	USA:MD	UCC Isolate	Not applicable	FDA:FDAARGOS_1035	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Providencia stuartii	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN16357204	FDAARGOS_1035	SRR12827772	GCF_016623625.1	Pathogen: clinical or host-associated sample from Providencia stuartii	Sequel	Not applicable	USAMRIID	Unknown	USA:MD	UCC Isolate	Not applicable	FDA:FDAARGOS_1035	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Providencia stuartii	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN11056360	FDAARGOS_645	SRR8984862	GCF_008693805.1	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_645	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Providencia stuartii	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN11056360	FDAARGOS_645	SRR8984863	GCF_008693805.1	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 4000	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_645	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN06173304	FDAARGOS_291	SRR5400976	GCF_002983665.1	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	George Washington University	3/1/14	USA:DC	urine	Not Applicable	FDA:FDAARGOS_291	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	male	Phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN06173304	FDAARGOS_291	SRR5400975	GCF_002983665.1	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 4000	Not Applicable	George Washington University	3/1/14	USA:DC	urine	Not Applicable	FDA:FDAARGOS_291	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	male	Phenotypic identification
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163199	FDAARGOS_505	SRR8179284	GCF_003813005.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	PacBio RS	Not applicable	Children's National Hospital	12/18/15	not applicable	Endotracheal aspirate	Not applicable	FDA:FDAARGOS_505	Homo sapiens	8M	Not applicable	Unknown	Unknown	Unknown	Unknown	female	Phenotypic and Molecular Methods
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163199	FDAARGOS_505	SRR8179283	GCF_003813005.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	Illumina HiSeq 4000	Not applicable	Children's National Hospital	12/18/15	not applicable	Endotracheal aspirate	Not applicable	FDA:FDAARGOS_505	Homo sapiens	8M	Not applicable	Unknown	Unknown	Unknown	Unknown	female	Phenotypic and Molecular Methods
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN02934542	FDAARGOS_87	SRR1609117	GCF_000783455.2	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 2000	Not Applicable	Children's National Hospital	11/18/13	USA	endotracheal aspirate	Not Applicable	FDA:FDAARGOS_87	Homo sapiens	15Y	Missing	Colonization/trachitis	Missing	Missing	Missing	female	phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN02934542	FDAARGOS_87	SRR1609116	GCF_000783455.2	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	Children's National Hospital	11/18/13	USA	endotracheal aspirate	Not Applicable	FDA:FDAARGOS_87	Homo sapiens	15Y	Missing	Colonization/trachitis	Missing	Missing	Missing	female	phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN02934542	FDAARGOS_87	SRR1609115	GCF_000783455.2	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	Children's National Hospital	11/18/13	USA	endotracheal aspirate	Not Applicable	FDA:FDAARGOS_87	Homo sapiens	15Y	Missing	Colonization/trachitis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163227	FDAARGOS_532	SRR8180474	GCF_003812165.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	Illumina HiSeq 4000	Not applicable	Children's National Hospital	4/6/16	not applicable	Throat (pharynx)	Not applicable	FDA:FDAARGOS_532	Homo sapiens	34Y	Not applicable	Unknown	Unknown	Unknown	Unknown	female	Phenotypic and Molecular Methods
Pseudomonas aeruginosa	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	287	ARGOS_000091	v1.6	PRJNA231221	SAMN10163227	FDAARGOS_532	SRR8180475	GCF_003812165.1	Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa	PacBio RS	Not applicable	Children's National Hospital	4/6/16	not applicable	Throat (pharynx)	Not applicable	FDA:FDAARGOS_532	Homo sapiens	34Y	Not applicable	Unknown	Unknown	Unknown	Unknown	female	Phenotypic and Molecular Methods
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN06173307	FDAARGOS_294	SRR5413255	GCF_002206175.2	Pathogen: clinical or host-associated sample from Providencia stuartii	Illumina HiSeq 4000	Not Applicable	George Washington University	Missing	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_294	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	male	Phenotypic identification
Providencia stuartii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia	588	ARGOS_000091	v1.6	PRJNA231221	SAMN06173307	FDAARGOS_294	SRR5413254	GCF_002206175.2	Pathogen: clinical or host-associated sample from Providencia stuartii	PacBio RS	Not Applicable	George Washington University	Missing	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_294	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	male	Phenotypic identification
Pseudomonas sp. FDAARGOS_380		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2018067	ARGOS_000091	v1.6	PRJNA231221	SAMN07312424	FDAARGOS_380	SRR5871785	GCF_002591235.1	Pathogen: clinical or host-associated sample from Pseudomonas sp. FDAARGOS_380	Illumina HiSeq 4000	Not Applicable	Children's National Hospital	4/27/15	USA:DC	G tube	Not Applicable	FDA:FDAARGOS_380	Homo sapiens	8M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization
Pseudomonas sp. FDAARGOS_380		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2018067	ARGOS_000091	v1.6	PRJNA231221	SAMN07312424	FDAARGOS_380	SRR5871784	GCF_002591235.1	Pathogen: clinical or host-associated sample from Pseudomonas sp. FDAARGOS_380	PacBio RS	Not Applicable	Children's National Hospital	4/27/15	USA:DC	G tube	Not Applicable	FDA:FDAARGOS_380	Homo sapiens	8M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization
Pseudomonas oryzihabitans	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47885	ARGOS_000091	v1.6	PRJNA231221	SAMN11056372	FDAARGOS_657	SRR8991249	GCF_008693825.1	Pathogen: clinical or host-associated sample from Pseudomonas oryzihabitans	PacBio RS	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_657	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas oryzihabitans	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47885	ARGOS_000091	v1.6	PRJNA231221	SAMN11056372	FDAARGOS_657	SRR8991252	GCF_008693825.1	Pathogen: clinical or host-associated sample from Pseudomonas oryzihabitans	Illumina HiSeq 4000	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_657	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas oryzihabitans	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47885	ARGOS_000091	v1.6	PRJNA231221	SAMN11056372	FDAARGOS_657	SRR8991251	GCF_008693825.1	Pathogen: clinical or host-associated sample from Pseudomonas oryzihabitans	Illumina HiSeq 4000	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_657	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas oryzihabitans	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47885	ARGOS_000091	v1.6	PRJNA231221	SAMN11056372	FDAARGOS_657	SRR8991248	GCF_008693825.1	Pathogen: clinical or host-associated sample from Pseudomonas oryzihabitans	PacBio RS	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_657	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas oryzihabitans	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47885	ARGOS_000091	v1.6	PRJNA231221	SAMN11056372	FDAARGOS_657	SRR8991250	GCF_008693825.1	Pathogen: clinical or host-associated sample from Pseudomonas oryzihabitans	Illumina HiSeq 4000	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_657	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas sp. FDAARGOS_761	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2545800	ARGOS_000091	v1.6	PRJNA231221	SAMN11056476	FDAARGOS_761	SRR9641471	GCF_013343155.1	Pathogen: clinical or host-associated sample from Pseudomonas sp. FDAARGOS_761	PacBio RS	Not applicable	BEI Resources/American Type and Culture Collection (ATCC)	Unknown	USA:VA	healthy biopsy tissue, rectum	Not applicable	FDA:FDAARGOS_761	Homo sapiens	59Y	Not applicable	Unknown	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods
Pseudomonas sp. FDAARGOS_761	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2545800	ARGOS_000091	v1.6	PRJNA231221	SAMN11056476	FDAARGOS_761	SRR9641472	GCF_013343155.1	Pathogen: clinical or host-associated sample from Pseudomonas sp. FDAARGOS_761	PacBio RS	Not applicable	BEI Resources/American Type and Culture Collection (ATCC)	Unknown	USA:VA	healthy biopsy tissue, rectum	Not applicable	FDA:FDAARGOS_761	Homo sapiens	59Y	Not applicable	Unknown	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods
Pseudomonas sp. FDAARGOS_761	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2545800	ARGOS_000091	v1.6	PRJNA231221	SAMN11056476	FDAARGOS_761	SRR9641473	GCF_013343155.1	Pathogen: clinical or host-associated sample from Pseudomonas sp. FDAARGOS_761	Illumina HiSeq 4000	Not applicable	BEI Resources/American Type and Culture Collection (ATCC)	Unknown	USA:VA	healthy biopsy tissue, rectum	Not applicable	FDA:FDAARGOS_761	Homo sapiens	59Y	Not applicable	Unknown	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods
Pseudomonas luteola	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47886	ARGOS_000091	v1.6	PRJNA231221	SAMN11056352	FDAARGOS_637	SRR8984849	GCF_008693965.1	Pathogen: clinical or host-associated sample from Pseudomonas luteola	PacBio RS	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_637	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas luteola	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47886	ARGOS_000091	v1.6	PRJNA231221	SAMN11056352	FDAARGOS_637	SRR8984848	GCF_008693965.1	Pathogen: clinical or host-associated sample from Pseudomonas luteola	Illumina HiSeq 4000	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_637	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Pseudomonas monteilii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	76759	ARGOS_000091	v1.6	PRJNA231221	SAMN03996317	FDAARGOS_171	SRR2823661	GCF_002943995.1	Pathogen: clinical or host-associated sample from Pseudomonas monteilii	PacBio RS	Not Applicable	Children's National Hospital	6/26/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_171	Homo sapiens	4Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas monteilii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	76759	ARGOS_000091	v1.6	PRJNA231221	SAMN03996317	FDAARGOS_171	SRR2823662	GCF_002943995.1	Pathogen: clinical or host-associated sample from Pseudomonas monteilii	Illumina HiSeq 2500	Not Applicable	Children's National Hospital	6/26/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_171	Homo sapiens	4Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas monteilii		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	76759	ARGOS_000091	v1.6	PRJNA231221	SAMN03996317	FDAARGOS_171	SRR2823660	GCF_002943995.1	Pathogen: clinical or host-associated sample from Pseudomonas monteilii	PacBio RS	Not Applicable	Children's National Hospital	6/26/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_171	Homo sapiens	4Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas putida		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN07312420	FDAARGOS_376	SRR5871394	GCF_002588485.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	PacBio RS	Not Applicable	Children's National Hospital	4/13/15	USA:DC	jejunal aspirate	Not Applicable	FDA:FDAARGOS_376	Homo sapiens	14M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization
Pseudomonas putida		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN07312420	FDAARGOS_376	SRR5871393	GCF_002588485.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	Illumina HiSeq 4000	Not Applicable	Children's National Hospital	4/13/15	USA:DC	jejunal aspirate	Not Applicable	FDA:FDAARGOS_376	Homo sapiens	14M	Missing	Missing	Missing	Missing	Missing	male	Phenotypic characterization
Pseudomonas putida		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN07312453	FDAARGOS_409	SRR5878895	GCF_002554535.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	Illumina HiSeq 4000	Not Applicable	USAMRIID	Missing	Missing	blood	Not Applicable	FDA:FDAARGOS_409	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Pseudomonas putida		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN07312453	FDAARGOS_409	SRR5878894	GCF_002554535.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	PacBio RS	Not Applicable	USAMRIID	Missing	Missing	blood	Not Applicable	FDA:FDAARGOS_409	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Pseudomonas putida	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN10163210	FDAARGOS_516	SRR8179909	GCF_003938945.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	PacBio RS	Not applicable	Children's National Hospital	2/13/16	USA: DC	Throat (pharynx)	Not applicable	FDA:FDAARGOS_516	Homo sapiens	12Y	Not applicable	Cystic fibrosis	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods
Pseudomonas putida	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	303	ARGOS_000091	v1.6	PRJNA231221	SAMN10163210	FDAARGOS_516	SRR8179908	GCF_003938945.1	Pathogen: clinical or host-associated sample from Pseudomonas putida	Illumina HiSeq 4000	Not applicable	Children's National Hospital	2/13/16	USA: DC	Throat (pharynx)	Not applicable	FDA:FDAARGOS_516	Homo sapiens	12Y	Not applicable	Cystic fibrosis	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods
Pseudomonas fulva		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47880	ARGOS_000091	v1.6	PRJNA231221	SAMN03996312	FDAARGOS_167	SRR2822468	GCF_002951475.1	Pathogen: clinical or host-associated sample from Pseudomonas fulva	Illumina HiSeq 2500	Not Applicable	Children's National Hospital	6/6/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_167	Homo sapiens	6Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas fulva		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47880	ARGOS_000091	v1.6	PRJNA231221	SAMN03996312	FDAARGOS_167	SRR2822467	GCF_002951475.1	Pathogen: clinical or host-associated sample from Pseudomonas fulva	PacBio RS	Not Applicable	Children's National Hospital	6/6/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_167	Homo sapiens	6Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Pseudomonas fulva		Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	47880	ARGOS_000091	v1.6	PRJNA231221	SAMN03996312	FDAARGOS_167	SRR2822466	GCF_002951475.1	Pathogen: clinical or host-associated sample from Pseudomonas fulva	PacBio RS	Not Applicable	Children's National Hospital	6/6/14	USA:DC	sputum	Not Applicable	FDA:FDAARGOS_167	Homo sapiens	6Y	Missing	Cystic Fibrosis	Missing	Missing	Missing	female	phenotypic identification
Psychrobacter sanguinis	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	861445	ARGOS_000091	v1.6	PRJNA231221	SAMN22365128	FDAARGOS_1599	SRR17118603	GCF_020731505.1	Pathogen: clinical or host-associated sample from Psychrobacter sanguinis	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	DSMZ Isolate	Not applicable	DSM:23636	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Psychrobacter sanguinis	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	861445	ARGOS_000091	v1.6	PRJNA231221	SAMN22365128	FDAARGOS_1599	SRR17118602	GCF_020731505.1	Pathogen: clinical or host-associated sample from Psychrobacter sanguinis	Illumina NovaSeq 6000	Not applicable	DSMZ	Unknown	Germany: Braunschweig	DSMZ Isolate	Not applicable	DSM:23636	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Psychrobacter sanguinis	Not applicable	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	861445	ARGOS_000091	v1.6	PRJNA231221	SAMN22091665	FDAARGOS_1568	SRR17118622	GCF_020731205.1	Pathogen: clinical or host-associated sample from Psychrobacter sanguinis	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	DSMZ Isolate	Not applicable	DSM:23637	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
